# ----------------------------------------
# Report CSV Export
# Account: Just For Traveller
# Property: http://justfortraveller.in/
# ----------------------------------------
# 
# All Users
# Start date: 20230813
# End date: 20230909
Page path and screen class,Town/City,Views,Users,Views per user,Average engagement time,Event count,Conversions,Total revenue,Bounce rate
/,Ahmedabad,574,4,143.5,1406.5,1306,0,0,0.23595505617977527
/ear-plug-for-flight/,Ahmedabad,87,7,12.428571428571429,317.14285714285717,247,0,0,0.8
/home/,Ahmedabad,79,3,26.333333333333332,527,164,0,0,0.8
/,Bhilwara,76,3,25.333333333333332,317.6666666666667,197,0,0,0.2903225806451613
/best-portable-solar-power-bank/,Ahmedabad,66,1,66,190,89,0,0,0.9
/ear-plug-for-flight/,Forest City,59,59,1,0,295,0,0,0.9830508474576272
/inflatable-travel-pillow/,Ahmedabad,48,2,24,320,100,0,0,0.8695652173913043
/how-to-book-cheap-flight-tickets/,Ahmedabad,45,4,11.25,151.25,97,0,0,0.8333333333333334
/category/travel-blog/,Ahmedabad,41,3,13.666666666666666,94.33333333333333,95,0,0,1
/products/,Ahmedabad,39,2,19.5,290.5,110,0,0,0.9166666666666666
/ear-plug-for-flight/,Lulea,37,37,1,0,185,0,0,1
/ear-plug-for-flight/,Dublin,31,31,1,0,155,0,0,1
/ear-plug-for-flight/,Bhilwara,28,1,28,837,98,0,0,0.6428571428571429
/portable-refillable-spray-bottle/,Ahmedabad,27,1,27,188,55,0,0,0.8888888888888888
/page/2/,Ahmedabad,25,1,25,147,56,0,0,1
/places-to-visit-in-udaipur/,Ahmedabad,24,2,12,134,44,0,0,0.9166666666666666
/how-to-book-cheap-flight-tickets/,Bhilwara,22,3,7.333333333333333,23.333333333333332,45,0,0,0.7692307692307693
/travel-hotel-door-lock/,Ahmedabad,22,1,22,186,52,0,0,0.5
/category/health-safety/,Ahmedabad,21,1,21,104,59,0,0,1
/ear-plug-for-flight/,Altoona,18,18,1,0,86,0,0,1
/category/outdoor-adventure/,Ahmedabad,17,1,17,47,44,0,0,1
/category/travel-blog/,Bhilwara,17,2,8.5,16.5,36,0,0,1
/how-to-book-cheap-flight-tickets/,(not set),17,10,1.7,22.1,50,0,0,0.875
/category/travel-inspiration/,Ahmedabad,16,1,16,26,36,0,0,1
/waterproof-phone-pouch/,Ahmedabad,16,1,16,70,31,0,0,1
/home/,Bhilwara,15,2,7.5,230,39,0,0,0.5
/places-to-visit-in-udaipur/,Bhilwara,15,1,15,45,33,0,0,0.75
/travel-hotel-door-lock/,Bhilwara,15,2,7.5,147,30,0,0,0.7142857142857143
/ear-plug-for-flight/,Kochi,14,12,1.1666666666666667,12.583333333333334,56,0,0,0.5833333333333334
/party-starter-travel-games/,Ahmedabad,14,1,14,186,28,0,0,1
/ear-plug-for-flight/,Prineville,12,12,1,0,60,0,0,0.9166666666666666
/ear-plug-for-flight/,Srinagar,12,12,1,0.4166666666666667,45,0,0,0.9166666666666666
/how-to-book-cheap-flight-tickets/,Chicago,12,3,4,96,28,0,0,0.6666666666666666
/ear-plug-for-flight/,Ashburn,11,11,1,0,55,0,0,1
/best-travel-diary-journal/,Ahmedabad,10,2,5,27.5,20,0,0,1
/best-travel-pill-organizers-cases-boxes/,Ahmedabad,10,2,5,27,23,0,0,1
/best-world-map-for-wall/,Ahmedabad,10,1,10,234,20,0,0,1
/category/travel-essentials/,Ahmedabad,10,1,10,32,22,0,0,1
/category/travel-organization/,Ahmedabad,10,1,10,15,23,0,0,0.8571428571428571
/passport-wallet/,Ahmedabad,10,1,10,49,20,0,0,1
/camera-remote-for-phone/,Ahmedabad,9,1,9,123,19,0,0,1
/category/tech-gadgets/,Ahmedabad,9,2,4.5,16,20,0,0,1
/products/page/2/,Ahmedabad,8,1,8,47,21,0,0,1
/women-stylish-sun-hat/,Ahmedabad,8,1,8,53,19,0,0,1
/best-travel-toiletry-bottle/,Ahmedabad,7,1,7,69,15,0,0,1
/category/travel-comfort/,Ahmedabad,7,1,7,9,15,0,0,1
/category/travel-fashion/,Ahmedabad,7,1,7,14,15,0,0,1
/ear-plug-for-flight/,Jammu,7,6,1.1666666666666667,0.3333333333333333,25,0,0,0.8333333333333334
/ear-plug-for-flight/,Lucknow,7,7,1,1.1428571428571428,31,0,0,0.7142857142857143
/ultra-portable-solar-cooker/,Ahmedabad,7,1,7,51,15,0,0,1
/category/health-safety/,Bhilwara,6,2,3,3,14,0,0,1
/ear-plug-for-flight/,Bhubaneswar,6,6,1,0.5,22,0,0,1
/ear-plug-for-flight/,Kolkata,6,6,1,2.8333333333333335,27,0,0,0.8333333333333334
/ear-plug-for-flight/,Jaipur,5,3,1.6666666666666667,8.333333333333334,17,0,0,1
/how-to-book-cheap-flight-tickets/,Delhi,5,1,5,195,13,0,0,0.8
/best-travel-diary-journal/,Bhilwara,4,1,4,10,7,0,0,1
/best-travel-insurance/,Ahmedabad,4,1,4,19,10,0,0,1
/ear-plug-for-flight/,Indore,4,4,1,2.75,17,0,0,1
/ear-plug-for-flight/,Siliguri,4,4,1,1.25,16,0,0,0.75
/best-portable-solar-power-bank/,Bhilwara,3,1,3,5,6,0,0,0.6666666666666666
